"Change Email","Alterar E-mail"
"Personal Information","Informações Pessoais"
"Subscribe to Newsletter","Assinar Newsletter"
"General Subscription","Assinatura Geral"
"You are subscribed to 'General Subscription'.","Você está inscrito na 'Assinatura Geral'."
"You are now subscribed to our newsletter.","Você se inscreveu em nossa newsletter."
"You have been unsubscribed from our newsletter.","Você foi descadastrado da nossa newsletter."
"Order #","Pedido #"
"Order Date","Data do Pedido"
"Order Status","Status do Pedido"
"Order Total","Total do Pedido"
"View Order","Ver Pedido"
"Reorder","Refazer Pedido"
"Pending","Pendente"
"Processing","Em Processamento"
"Complete","Concluído"
"Closed","Fechado"
"Canceled","Cancelado"
"On Hold","Em Espera"
"Payment Review","Em Revisão de Pagamento"
"You have no recent orders.","Você não tem pedidos recentes."
"Recent Orders","Pedidos Recentes"
"Go to My Account","Ir para Minha Conta"
"You're signed in as %1","Você está logado como %1"
"Password is required field.","A senha é obrigatória."
"Your password must be at least %1 characters.","Sua senha deve ter pelo menos %1 caracteres."
"Your password must include both numeric and alphabetic characters.","Sua senha deve conter letras e números."
"Your session will expire in one minute. Please save your changes or extend your session to continue working.","Sua sessão expirará em um minuto. Salve suas alterações ou estenda sua sessão."
"An error occurred while extending your session. Please try again.","Ocorreu um erro ao estender sua sessão. Tente novamente."
"Your session has been extended.","Sua sessão foi estendida."
"Order #%1","Pedido #%1"
"Thank you for your purchase!","Obrigado pela sua compra!"
"Your order # is: %1","Seu número de pedido é: %1"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação com os detalhes do pedido."
"Items Ordered","Itens Pedidos"
"Product Name","Nome do Produto"
SKU,SKU
"Qty","Qtd."
"Shipping & Handling","Frete e Manuseio"
"Payment & Shipping Method","Método de Pagamento e Entrega"
"Payment Information","Informações de Pagamento"
"Shipping Information","Informações de Entrega"
"Track your order","Acompanhar pedido"
"Print Order","Imprimir Pedido"
"Invoices","Notas Fiscais"
"Shipments","Entregas"
"Credit Memos","Notas de Crédito"
"Invoice #","NF #"
"Shipment #","Entrega #"
"Reviews","Avaliações"
"Add Your Review","Adicionar Avaliação"
"Write Your Own Review","Escreva sua Avaliação"
"Nickname","Apelido"
"Review","Avaliação"
"Submit Review","Enviar Avaliação"
"Rating","Classificação"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"You submitted your review for moderation.","Sua avaliação foi enviada para moderação."
"%1 Review(s)","%1 Avaliação(ões)"
"%1 review(s)","%1 avaliação(ões)"
"out of %1","de %1"
"Notify me when this product is in stock","Avise-me quando este produto estiver disponível"
"Regular Price","Preço Regular"
"Special Price","Preço Especial"
"Your Price","Seu Preço"
"Catalog Price","Preço de Catálogo"
"Flat Rate","Taxa Fixa"
"Standard Shipping","Entrega Padrão"
"Express Shipping","Entrega Expressa"
"Estimated Delivery","Entrega Estimada"
"Select Shipping Method","Selecione o Método de Entrega"
"No Payment Information Required","Nenhuma informação de pagamento necessária"
"This is a required field.","Este campo é obrigatório."
"Please enter a valid value.","Por favor, insira um valor válido."
"Please enter a number greater than 0.","Por favor, insira um número maior que 0."
"Please enter a number greater than or equal to %1.","Por favor, insira um número maior ou igual a %1."
"Please enter a number less than or equal to %1.","Por favor, insira um número menor ou igual a %1."
"Please enter a valid email address.","Por favor, insira um e-mail válido."
"Please enter a valid URL.","Por favor, insira uma URL válida."
"Minimum length of this field must be equal or greater than %1 symbols.","Este campo deve ter no mínimo %1 caracteres."
"Maximum length of this field must be equal or less than %1 symbols.","Este campo deve ter no máximo %1 caracteres."
"Please enter at least %1 characters.","Por favor, insira pelo menos %1 caracteres."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please enter the same value again.","Por favor, insira o mesmo valor novamente."
"Passwords do not match.","As senhas não coincidem."
"The passwords don't match.","As senhas não coincidem."
"There are 1 error(s)","Há 1 erro"
"There are %1 error(s)","Há %1 erros"
"Whoops, our bad...","Ops, algo deu errado..."
"The page you requested was not found, and we have a fine guess why.","A página que você solicitou não foi encontrada."
"If you typed the URL directly, please make sure the spelling is correct.","Se você digitou a URL diretamente, verifique se está correta."
"If you followed a link, it may be out of date.","Se você seguiu um link, ele pode estar desatualizado."
"Filter","Filtro"
"Filters","Filtros"
"Active Filters","Filtros Ativos"
"Apply Filters","Aplicar Filtros"
"Close Filters","Fechar Filtros"
"Color","Cor"
"Size","Tamanho"
"Material","Material"
"Brand","Marca"
"New","Novo"
"Sale","Promoção"
"Newsletter","Newsletter"
"Sign Up for Our Newsletter","Assine Nossa Newsletter"
"Enter your email address","Insira seu e-mail"
"Subscribe","Assinar"
"Thank you for your subscription.","Obrigado por assinar nossa newsletter."
"This email address is already subscribed.","Este e-mail já está inscrito."
"There was a problem with the subscription: %1","Houve um problema com a assinatura: %1"
"Contact Us","Fale Conosco"
"Your Name","Seu Nome"
"Phone Number","Telefone"
"What's on your mind?","Mensagem"
"Your Message","Sua Mensagem"
"Thank you for contacting us with your comments and questions. We'll respond to you very soon.","Obrigado por entrar em contato. Responderemos em breve."
"Account Information","Informações da Conta"
"Pedido realizado com sucesso!","Pedido realizado com sucesso!"
"Seu pedido","Seu pedido"
"foi confirmado.","foi confirmado."
"Você receberá um e-mail de confirmação em breve.","Você receberá um e-mail de confirmação em breve."
"Ver meus pedidos","Ver meus pedidos"
"Continuar comprando","Continuar comprando"
"Account","Conta"
"Store","Loja"
"Category","Categoria"
"New Products","Novos Produtos"
"Best Sellers","Mais Vendidos"
"Featured Products","Produtos em Destaque"
"Related Products","Produtos Relacionados"
"Upsell Products","Produtos Recomendados"
"Cross-sell Products","Produtos Complementares"
"More Views","Mais Visualizações"
"Product Image","Imagem do Produto"
"Click to expand","Clique para expandir"
"Share","Compartilhar"
"Share on Facebook","Compartilhar no Facebook"
"Share on Twitter","Compartilhar no Twitter"
"Print","Imprimir"
"Sold Out","Esgotado"
"Limited Stock","Estoque Limitado"
"ships in %1","enviado em %1"
"Delivered in %1 days","Entregue em %1 dias"
"Add","Adicionar"
"+ Add Option","+ Adicionar Opção"
"Remove Option","Remover Opção"
"You must log in to view the page.","Você precisa estar logado para ver esta página."
"You must login or register to checkout.","Você precisa fazer login ou criar uma conta para finalizar a compra."
"Please provide your email address.","Por favor, informe seu e-mail."
